40,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
40,1000,1009.7,1022.4,1063.8,1095.5,1022.4,1060.5,1098.6,1149.4,1000.3,1025.7,1076.5,1127.3,1009.7,1047.8,1098.6,1155.7,1060.5,1098.6,1149.4,1251,1.894,2.406,2.678,2.913,4.385,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
42,1050,1060.5,1079.5,1114.6,1146.3,1085.9,1111.3,1149.4,1200.2,1051.1,1076.5,1127.3,1178.1,1066.8,1104.9,1155.7,1219.2,1111.3,1149.4,1200.2,1301.8,1.817,3.368,2.805,3.253,4.574,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
44,1100,1111.3,1124,1165.4,1197.1,1124,1162.1,1200.2,1251,1104.9,1130.3,1181.1,1231.9,1111.3,1162.1,1212.9,1270,1155.7,1206.5,1257.3,1368.6,2.076,2.627,2.939,3.215,5.106,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
46,1150,1162.1,1181.1,1224,1255.8,1178.1,1216.2,1254.3,1317.8,1168.4,1193.8,1244.6,1289.1,1162.1,1212.9,1263.7,1327.2,1219.2,1270,1320.8,1435.1,2.227,3.152,2.896,3.555,5.469,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
48,1200,1212.9,1231.9,1270,1306.6,1231.9,1263.7,1311.4,1368.6,1206.5,1244.6,1295.4,1346.2,1219.2,1270,1320.8,1390.7,1270,1320.8,1371.6,1485.9,2.319,4.347,3.223,-0.435,5.675,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
50,1250,1263.7,1282.7,1325.6,1357.4,1267,1317.8,1355.9,1419.4,1257.3,1295.4,1346.2,1403.4,1270,1320.8,1371.6,1447.8,N/A,N/A,N/A,N/A,2.412,3.405,3.568,4.306,N/A,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
52,1300,1314.5,1333.5,1376.4,1408.2,1317.8,1368.6,1406.7,1470.2,1308.1,1346.2,1397,1454.2,1320.8,1371.6,1422.4,1498.6,N/A,N/A,N/A,N/A,2.505,3.532,3.702,4.464,N/A,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
54,1350,1365.3,1384.3,1422.4,1463.8,1365.3,1403.4,1454.2,1530.4,1352.6,1403.4,1454.2,1517.7,1378,1428.8,1479.6,1555.8,N/A,N/A,N/A,N/A,2.768,5.213,4.089,4.642,N/A,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
56,1400,1422.4,1444.8,1478,1514.6,1428.8,1479.6,1524,1593.9,1403.4,1454.2,1505,1568.5,1428.8,1479.6,1530.4,1612.9,N/A,N/A,N/A,N/A,2.867,4.273,4.231,5.05,N/A,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
58,1450,1478,1500.1,1528.8,1579.6,1484.4,1535.2,1573.3,1655.8,1454.2,1505,1555.8,1619.3,1473.2,1536.7,1587.5,1663.7,N/A,N/A,N/A,N/A,3.516,-1.123,-0.721,-30.862,N/A,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
60,1500,1535.2,1557.3,1586,1630.4,1557.3,1589,1630.4,1706.6,1517.7,1568.5,1619.3,1682.8,1530.4,1593.9,1644.7,1733.6,N/A,N/A,N/A,N/A,3.633,6.746,4.551,5.692,N/A,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
