"6.35","",""
"100","4","RB","100 mm","4""","Return Bend","0.85"
"125","4","RB","125 mm","5""","Return Bend","0.81"
"150","4","RB","150 mm","6""","Return Bend","0.75"
"200","4","RB","200 mm","8""","Return Bend","0.7"
"250","4","RB","250 mm","10""","Return Bend","0.7"
"300","4","RB","300 mm","12""","Return Bend","0.65"
"350","4","RB","350 mm","14""","Return Bend","0.65"
"380","4","RB","380 mm","15""","Return Bend","0.65"
"400","4","RB","400 mm","16""","Return Bend","0.65"
"450","4","RB","450 mm","18""","Return Bend","0.6"
"500","4","RB","500 mm","20""","Return Bend","0.6"
"550","4","RB","550 mm","22""","Return Bend","0.6"
"600","4","RB","600 mm","24""","Return Bend","0.6"
"650","4","RB","650 mm","26""","Return Bend","0.6"
"700","4","RB","700 mm","28""","Return Bend","0.6"
"750","4","RB","750 mm","30""","Return Bend","0.6"
"800","4","RB","800 mm","32""","Return Bend","0.6"
"850","4","RB","850 mm","34""","Return Bend","0.6"
"900","4","RB","900 mm","36""","Return Bend","0.6"
"950","4","RB","950 mm","38""","Return Bend","0.6"
"1000","4","RB","1000 mm","40""","Return Bend","0.6"
"1050","4","RB","1050 mm","42""","Return Bend","0.6"
"1200","4","RB","1200 mm","48""","Return Bend","0.6"
"1400","4","RB","1400 mm","54""","Return Bend","0.6"
"1500","4","RB","1500 mm","60""","Return Bend","0.6"
"1800","4","RB","1800 mm","72""","Return Bend","0.6"
"2100","4","RB","2100 mm","84""","Return Bend","0.6"
"6","5","MB45","6 mm","1/8""","Mitre Bend 45 deg.","0.58"
"7","5","MB45","7 mm","3/16""","Mitre Bend 45 deg.","0.54"
"8","5","MB45","8 mm","1/4""","Mitre Bend 45 deg.","0.48"
"9","5","MB45","9 mm","5/16""","Mitre Bend 45 deg.","0.48"
"10","5","MB45","10 mm","3/8""","Mitre Bend 45 deg.","0.44"
"12","5","MB45","12 mm","7/16""","Mitre Bend 45 deg.","0.42"
"15","5","MB45","15 mm","1/2""","Mitre Bend 45 deg.","0.41"
"18","5","MB45","18 mm","5/8""","Mitre Bend 45 deg.","0.4"
"20","5","MB45","20 mm","3/4""","Mitre Bend 45 deg.","0.38"
"22","5","MB45","22 mm","7/8""","Mitre Bend 45 deg.","0.37"
"25","5","MB45","25 mm","1""","Mitre Bend 45 deg.","0.35"
"32","5","MB45","32 mm","1-1/4""","Mitre Bend 45 deg.","0.33"
"40","5","MB45","40 mm","1-1/2""","Mitre Bend 45 deg.","0.32"
"50","5","MB45","50 mm","2""","Mitre Bend 45 deg.","0.29"
"65","5","MB45","65 mm","2-1/2""","Mitre Bend 45 deg.","0.27"
"80","5","MB45","80 mm","3""","Mitre Bend 45 deg.","0.27"
"90","5","MB45","90 mm","3-1/2""","Mitre Bend 45 deg.","0.27"
"100","5","MB45","100 mm","4""","Mitre Bend 45 deg.","0.26"
"125","5","MB45","125 mm","5""","Mitre Bend 45 deg.","0.25"
"150","5","MB45","150 mm","6""","Mitre Bend 45 deg.","0.23"
"200","5","MB45","200 mm","8""","Mitre Bend 45 deg.","0.21"
"250","5","MB45","250 mm","10""","Mitre Bend 45 deg.","0.21"
"300","5","MB45","300 mm","12""","Mitre Bend 45 deg.","0.2"
"350","5","MB45","350 mm","14""","Mitre Bend 45 deg.","0.2"
"380","5","MB45","380 mm","15""","Mitre Bend 45 deg.","0.2"
"400","5","MB45","400 mm","16""","Mitre Bend 45 deg.","0.2"
"450","5","MB45","450 mm","18""","Mitre Bend 45 deg.","0.18"
"500","5","MB45","500 mm","20""","Mitre Bend 45 deg.","0.18"
"550","5","MB45","550 mm","22""","Mitre Bend 45 deg.","0.18"
"600","5","MB45","600 mm","24""","Mitre Bend 45 deg.","0.18"
"650","5","MB45","650 mm","26""","Mitre Bend 45 deg.","0.18"
"700","5","MB45","700 mm","28""","Mitre Bend 45 deg.","0.18"
"750","5","MB45","750 mm","30""","Mitre Bend 45 deg.","0.18"
"800","5","MB45","800 mm","32""","Mitre Bend 45 deg.","0.18"
"850","5","MB45","850 mm","34""","Mitre Bend 45 deg.","0.18"
"900","5","MB45","900 mm","36""","Mitre Bend 45 deg.","0.18"
"950","5","MB45","950 mm","38""","Mitre Bend 45 deg.","0.18"
"1000","5","MB45","1000 mm","40""","Mitre Bend 45 deg.","0.18"
"1050","5","MB45","1050 mm","42""","Mitre Bend 45 deg.","0.18"
"1200","5","MB45","1200 mm","48""","Mitre Bend 45 deg.","0.18"
"1400","5","MB45","1400 mm","54""","Mitre Bend 45 deg.","0.18"
"1500","5","MB45","1500 mm","60""","Mitre Bend 45 deg.","0.18"
"1800","5","MB45","1800 mm","72""","Mitre Bend 45 deg.","0.18"
"2100","5","MB45","2100 mm","84""","Mitre Bend 45 deg.","0.18"
"6","6","MB90","6 mm","1/8""","Mitre Bend 90 deg.","2"
"7","6","MB90","7 mm","3/16""","Mitre Bend 90 deg.","1.95"
"8","6","MB90","8 mm","1/4""","Mitre Bend 90 deg.","1.9"
"9","6","MB90","9 mm","5/16""","Mitre Bend 90 deg.","1.9"
"10","6","MB90","10 mm","3/8""","Mitre Bend 90 deg.","1.75"
"12","6","MB90","12 mm","7/16""","Mitre Bend 90 deg.","1.69"
"15","6","MB90","15 mm","1/2""","Mitre Bend 90 deg.","1.62"
"18","6","MB90","18 mm","5/8""","Mitre Bend 90 deg.","1.56"
"20","6","MB90","20 mm","3/4""","Mitre Bend 90 deg.","1.5"
"22","6","MB90","22 mm","7/8""","Mitre Bend 90 deg.","1.44"
"25","6","MB90","25 mm","1""","Mitre Bend 90 deg.","1.38"
"32","6","MB90","32 mm","1-1/4""","Mitre Bend 90 deg.","1.32"
"40","6","MB90","40 mm","1-1/2""","Mitre Bend 90 deg.","1.26"
"50","6","MB90","50 mm","2""","Mitre Bend 90 deg.","1.14"
"65","6","MB90","65 mm","2-1/2""","Mitre Bend 90 deg.","1.08"
"80","6","MB90","80 mm","3""","Mitre Bend 90 deg.","1.06"
"90","6","MB90","90 mm","3-1/2""","Mitre Bend 90 deg.","1.04"
"100","6","MB90","100 mm","4""","Mitre Bend 90 deg.","1.02"
"125","6","MB90","125 mm","5""","Mitre Bend 90 deg.","0.96"
"150","6","MB90","150 mm","6""","Mitre Bend 90 deg.","0.9"
"200","6","MB90","200 mm","8""","Mitre Bend 90 deg.","0.84"
"250","6","MB90","250 mm","10""","Mitre Bend 90 deg.","0.84"
"300","6","MB90","300 mm","12""","Mitre Bend 90 deg.","0.78"
"350","6","MB90","350 mm","14""","Mitre Bend 90 deg.","0.78"
"380","6","MB90","380 mm","15""","Mitre Bend 90 deg.","0.78"
"400","6","MB90","400 mm","16""","Mitre Bend 90 deg.","0.78"
"450","6","MB90","450 mm","18""","Mitre Bend 90 deg.","0.72"
"500","6","MB90","500 mm","20""","Mitre Bend 90 deg.","0.72"
"550","6","MB90","550 mm","22""","Mitre Bend 90 deg.","0.72"
"600","6","MB90","600 mm","24""","Mitre Bend 90 deg.","0.72"
"650","6","MB90","650 mm","26""","Mitre Bend 90 deg.","0.72"
"700","6","MB90","700 mm","28""","Mitre Bend 90 deg.","0.72"
"750","6","MB90","750 mm","30""","Mitre Bend 90 deg.","0.72"
"800","6","MB90","800 mm","32""","Mitre Bend 90 deg.","0.72"
"850","6","MB90","850 mm","34""","Mitre Bend 90 deg.","0.72"
"900","6","MB90","900 mm","36""","Mitre Bend 90 deg.","0.72"
"500","6","MB90","950 mm","38""","Mitre Bend 90 deg.","0.72"
"1000","6","MB90","1000 mm","40""","Mitre Bend 90 deg.","0.72"
"1050","6","MB90","1050 mm","42""","Mitre Bend 90 deg.","0.72"
"1200","6","MB90","1200 mm","48""","Mitre Bend 90 deg.","0.72"
"1400","6","MB90","1400 mm","54""","Mitre Bend 90 deg.","0.72"
"1500","6","MB90","1500 mm","60""","Mitre Bend 90 deg.","0.72"
"1800","6","MB90","1800 mm","72""","Mitre Bend 90 deg.","0.72"
"2100","6","MB90","2100 mm","84""","Mitre Bend 90 deg.","0.72"
"6","7","Gate","6 mm","1/8""","Gate Valve","0.3"
"7","7","Gate","7 mm","3/16""","Gate Valve","0.3"
"8","7","Gate","8 mm","1/4""","Gate Valve","0.27"
"9","7","Gate","9 mm","5/16""","Gate Valve","0.27"
"10","7","Gate","10 mm","3/8""","Gate Valve","0.24"
"12","7","Gate","12 mm","7/16""","Gate Valve","0.23"
"15","7","Gate","15 mm","1/2""","Gate Valve","0.22"
"18","7","Gate","18 mm","5/8""","Gate Valve","0.21"
"20","7","Gate","20 mm","3/4""","Gate Valve","0.2"
"22","7","Gate","22 mm","7/8""","Gate Valve","0.19"
"25","7","Gate","25 mm","1""","Gate Valve","0.18"
"32","7","Gate","32 mm","1-1/4""","Gate Valve","0.18"
"40","7","Gate","40 mm","1-1/2""","Gate Valve","0.15"
"50","7","Gate","50 mm","2""","Gate Valve","0.15"
"65","7","Gate","65 mm","2-1/2""","Gate Valve","0.14"
"80","7","Gate","80 mm","3""","Gate Valve","0.14"
"90","7","Gate","90 mm","3-1/2""","Gate Valve","0.14"
"100","7","Gate","100 mm","4""","Gate Valve","0.14"
"125","7","Gate","125 mm","5""","Gate Valve","0.13"
"150","7","Gate","150 mm","6""","Gate Valve","0.12"
"200","7","Gate","200 mm","8""","Gate Valve","0.11"
"250","7","Gate","250 mm","10""","Gate Valve","0.11"
"300","7","Gate","300 mm","12""","Gate Valve","0.1"
"350","7","Gate","350 mm","14""","Gate Valve","0.1"
"380","7","Gate","380 mm","15""","Gate Valve","0.1"
"400","7","Gate","400 mm","16""","Gate Valve","0.1"
"450","7","Gate","450 mm","18""","Gate Valve","0.1"
"500","7","Gate","500 mm","20""","Gate Valve","0.1"
"550","7","Gate","550 mm","22""","Gate Valve","0.1"
"600","7","Gate","600 mm","24""","Gate Valve","0.1"
"650","7","Gate","650 mm","26""","Gate Valve","0.1"
"700","7","Gate","700 mm","28""","Gate Valve","0.1"
"750","7","Gate","750 mm","30""","Gate Valve","0.1"
"800","7","Gate","800 mm","32""","Gate Valve","0.1"
"850","7","Gate","850 mm","34""","Gate Valve","0.1"
"900","7","Gate","900 mm","36""","Gate Valve","0.1"
"950","7","Gate","950 mm","38""","Gate Valve","0.1"
"1000","7","Gate","1000 mm","40""","Gate Valve","0.1"
"1050","7","Gate","1050 mm","42""","Gate Valve","0.1"
"1200","7","Gate","1200 mm","48""","Gate Valve","0.1"
"1400","7","Gate","1400 mm","54""","Gate Valve","0.1"
"1500","7","Gate","1500 mm","60""","Gate Valve","0.1"
"1800","7","Gate","1800 mm","72""","Gate Valve","0.1"
"2100","7","Gate","2100 mm","84""","Gate Valve","0.1"
"6","8","Globe","6 mm","1/8""","Globe Valve","12"
"7","8","Globe","7 mm","3/16""","Globe Valve","12"
"8","8","Globe","8 mm","1/4""","Globe Valve","11"
"9","8","Globe","9 mm","5/16""","Globe Valve","11"
"10","8","Globe","10 mm","3/8""","Globe Valve","9.9"
"12","8","Globe","12 mm","7/16""","Globe Valve","9.6"
"15","8","Globe","15 mm","1/2""","Globe Valve","9.2"
"18","8","Globe","18 mm","5/8""","Globe Valve","8.9"
"20","8","Globe","20 mm","3/4""","Globe Valve","8.5"
"22","8","Globe","22 mm","7/8""","Globe Valve","8.2"
"25","8","Globe","25 mm","1""","Globe Valve","7.8"
